title,genre,year,runtime,rating,votes,plot,imdb_url
Love You Baba,Drama,2014,9300.0,7.2,10.0,Nepali movie 'Love You Baba' is an unique movie in the world - directed by an 8-years-old director. The director win the World Record an being the youngest film director in the world.,https://www.imdb.com/title/tt5954644/
Jai Parshuram,Action,2016,,,,Add a Plot,https://www.imdb.com/title/tt8778914/
Serdhak,Family,2015,4380.0,6.7,7.0,"A young man returns from the city to his village in the remote mountains of Mustang, in the Nepal Himalaya, with ideas to improve the lives of his people, but struggles to reconcile these with the existing realities.",https://www.imdb.com/title/tt3598818/
Suntali,"Comedy, Drama",2014,6600.0,7.1,19.0,"Chinmaya Suberdani, the powerful matriarch of a sleepy village in Nepal, is preparing for her son's wedding when Suntali returns with a menacing foreigner in tow. Suntali befriends the village tailor, rekindles a relationship with Chinmaya's son Sundar, and armed with great resolve and sharp cunning Suntali deftly spins a web of deception, building up her vengeance against Chinmaya by getting the village men to do her bidding. As we find out why Suntali wants revenge, Chinmaya also wises up to Suntali's plot and initiates her own plan to destroy Suntali. Their feud will leave the hearts and minds of half of the village devastated, because only one of them will win.",https://www.imdb.com/title/tt3908994/
Transforming the Present,"Short, Drama",2015,240.0,,,"""There's nothing wrong with you. There's a lot wrong with the world you live in- Chris Colfer""- Transforming the Present""",https://www.imdb.com/title/tt7047084/
Goodbye Kathmandu,Drama,2017,7740.0,,,"The movie is about stories of three people - a repatriate Computer Engineer, an aspiring musician and a school student in love - all torn by conflict between the Maoist opposition party and the Nepal King's government.",https://www.imdb.com/title/tt7870694/
Badal Paree,,2001,,8.8,8.0,Add a Plot,https://www.imdb.com/title/tt0300971/
The Moon is Bright Tonight,"Short, Drama",2017,780.0,,,"A dead body of a migrant worker arrives in a village of stone workers in southern part of Nepal. TATTINI, his recently wed wife and now widow, plans to escape and use the money from his insurance to start a new life but her father-in-law is determined to stop her from leaving with the insurance money of his dead son.",https://www.imdb.com/title/tt6952626/
Marina,Thriller,,,,,Marina is a upcoming thriller movie having Aaryan Sigdel and Barsha Raut as lead.,https://www.imdb.com/title/tt7225256/
100 Kada 10,Comedy,2019,,,,Add a Plot,https://www.imdb.com/title/tt10021464/
Chunauti,Action,1996,,,,Add a Plot,https://www.imdb.com/title/tt5093788/
Kusume Rumal 2,"Drama, Romance",2010,8100.0,6.9,27.0,Add a Plot,https://www.imdb.com/title/tt2007973/
Pasul Ascultarii,"Documentary, Adventure, Drama",,6480.0,,,"In October 2013, Alex Gavan - explorer and alpine climber, who successfully climbed six times an 8,000 meters peak, invited me to participate in an expedition, through Larke La Pass, in Manaslu region, located in the Nepalese Himalayas, together with six other people I didn't know. All of them were successful people in different fields. We were all in search of unusual experiences, willing-fully choosing to test our endurance during our annual holiday. The result is a dramatic, comic and genuine discovery, in which I had the privilege to participate.",https://www.imdb.com/title/tt4266996/
So Flo Floods,Documentary,2017,4800.0,,,"Miami Beach is ground zero in the USA for Sea Level Rise (SLR), investing hundreds of millions of dollars to install pumps and other infrastructure to handle ""King Tide"" flooding and fight back the most immediate effects of global warming. But there is a much bigger story to be told of floods in South Florida including ancient--and future--floods. From Lake Okeechobee, to Stuart, to Belle Glade, to the Everglades, So Flo Floods tells the story of these floods and the issues surrounding where the region is going and what it will need to confront if SLR continues as anticipated. Not only is South Florida home to some of the most knowledgeable experts in the world on SLR, but also to many with related expertise that help So Flo Floods paint a picture of South Florida's economic, environmental, and political realities going forward. There are differences of opinion about what's to come and what to do about it-but not that it's here. We interview professors, mayors, writers, historians, engineers, and others and support their stories with archival and current footage, as well as animation and aerial footage captured over the past two years.",https://www.imdb.com/title/tt7745974/
Lahana,"Drama, Romance",2002,,,,Add a Plot,https://www.imdb.com/title/tt8227810/
K Yo Maya Ho,"Drama, Romance",2011,,,,Add a Plot,https://www.imdb.com/title/tt8734910/
